oficina;fechaMovimiento;numeroDocumento;debito;credito;descripcion;
560;29/01/2026;33107384;5,000.00;;PETER 61406974/HENRY IVES;
560;05/01/2026;89751807;20,000.00;;TRASPASO ROBERT 89732702/JIMENEZ MORALES JACQ;
228;19/03/2026;56750598;;250,000.00;CONV/JOHN DOE;
560;29/01/2026;32300123;3,500.00;;FOTOS PETER 84525834/ALICE BROWN;
560;19/01/2026;80887259;10,000.00;;DUCHA 84112698/BNCR;
228;06/02/2026;38082350;5,000.00;;OSCAR FERIA 61031950/MIKE NELSON;
228;14/01/2026;56835109;48,900.00;;AO GRECIA PETER ARA 64473027/3102935724 SRL;
560;12/01/2026;46945754;5,000.00;;PAGO RECIBO DESDE BNCELULAR/OSCAR PARKER;
560;12/01/2026;66432681;78,500.00;;JULIAN ZAMORA 88228941/BNCR;
228;28/01/2026;29676434;;375,000.00;DIETAS JD ENERO 2026/JANE SMITH;
560;05/01/2026;19185290;9,000.00;;FORESTER 85082442/BNCR;
560;30/03/2026;98753177;30,000.00;;PAGO BICI FINAL 4477/BNCR;
560;12/01/2026;68759646;5,000.00;;PAGO RECIBO DESDE BNCELULAR/OSCAR PARKER;
560;20/01/2026;32866336;22,500.00;;PETER ARAYA ARREGLO 70234162/BNCR;
560;19/01/2026;35068935;5,000.00;;PAGO RECIBO DESDE BNCELULAR/OSCAR PARKER;
228;01/04/2026;23658445;5,000.00;;CFIA 445677/GRACE HALL;
228;04/02/2026;62532347;353,011.00;;CFIA CASA AN/GRACE HALL;
560;19/01/2026;92742109;5,000.00;;PAGO RECIBO DESDE BNCELULAR/OSCAR PARKER;
228;06/04/2026;41049564;32,300.00;;COMIDA RYSOL 55667788/EVA FISHER;
228;05/01/2026;20724779;150,000.00;;COMIDA DIC 2025/ARAYA CAMPOS RYAN;
560;05/01/2026;20907751;30,000.00;;DIENTES PETER 87063922/NINA OLSON;
0;30/03/2026;46378735;;3,000,000.00;ARIPAGOCAMBIODEDIVISA/JOHNDOE;
6;06/01/2026;26318324;28,828.56;;CED 206980511/BNCR;
228;05/01/2026;44436857;34,000.00;;CACHACHI/ARAYA CAMPOS RYAN;
560;16/03/2026;30340538;39,500.00;;BICI ADELANTO 44556677/BNCR;
560;23/03/2026;37386989;;50,000.00;PRIMER PAGO APARTAME/IDA JACKSON;
560;08/01/2026;68675584;5,000.00;;PAGO RECIBO DESDE BNCELULAR/OSCAR PARKER;
560;09/03/2026;34402876;13,700.00;;COMIDA 55667788/BNCR;
228;20/02/2026;12614758;10,197.65;;PAGO ICETEL 86647801/JOHN DOE ;
228;03/03/2026;25201470;;100,000.00;APARTA 86647801/BOB JOHNSON;
228;30/03/2026;32253717;1,102,640.42;;PROFORMA 286/FERRETERIA LOS ANGEL;
228;06/02/2026;75105790;900.00;;FERIA OSCAR 89212416/EVA FISHER;
560;29/01/2026;99611583;7,950.00;;POLIZA JULIAN ZAMORA 89928228/BNCR;
560;05/02/2026;70388017;6,000.00;;BATIDOS 84889506/NINA OLSON;
560;27/02/2026;61372204;2,000.00;;RIFA PETER 83447136/BNCR;
228;06/04/2026;18704553;45,000.00;;LAMINAS DE ZINC/GRACE HALL;
0;03/02/2026;12666012;;1,000,000.00;ARIPAGOCAMBIODEDIVISA/JOHNDOE;
228;23/02/2026;70543858;12,000.00;;KEN LEE FEB MARZO 87297046/LUCY MARTIN;
560;04/03/2026;96832984;4,000.00;;AGUA PETER 83856366/BNCR;
228;02/02/2026;26938676;29,616.00;;PAGO CCSS 123456789012345/JOHN DOE ;
560;05/03/2026;65031936;;100,000.00;APARTA/BOB JOHNSON;
560;09/03/2026;87793823;7,000.00;;PETER 61406974/HENRY IVES;
228;02/03/2026;93480866;375,000.00;;DEV/JANE SMITH;
228;30/03/2026;69460404;1,500.00;;COBRO DE COMISION TFT/JOHN DOE;
560;20/03/2026;26117889;5,000.00;;PELO JULIAN 00112233/ALICE BROWN;
560;02/01/2026;96008972;8,500.00;;OSCAR 85698319/BNCR;
228;06/04/2026;29327514;25,000.00;;PELO ANA 87621/ALICE BROWN;
228;12/01/2026;71150365;85,000.00;;FINCA GRINGO 87543807/DIXON ANTONIO HERRER;
0;05/01/2026;68083096;;1,239,700.00;ARIPAGOCAMBIODEDIVISA/OSCARPARKER;
